Team,Game Date,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Philadelphia Flyers,1/12/2015,1,1,0,--,0,2,1,1,1,0,7,3,7,3,75,33.3,75,33.3,25,24,48.3
Philadelphia Flyers,1/14/2015,1,0,1,--,0,0,0,0,0,0,0,1,0,1,0,100,0,100,21,26,42.4
Philadelphia Flyers,1/15/2015,1,0,1,--,0,0,0,0,0,0,0,4,0,4,0,33.3,0,33.3,30,22,50.9
Philadelphia Flyers,1/17/2015,1,1,0,--,0,2,1,1,1,0,4,3,4,3,66.7,66.7,66.7,66.7,32,27,47.2
Philadelphia Flyers,1/19/2015,1,0,1,--,0,0,0,0,0,0,4,7,4,7,33.3,75,0,75,29,41,57.4
Philadelphia Flyers,1/20/2015,1,1,0,--,0,2,1,0,1,0,3,2,3,2,16.7,100,0,100,40,35,50.8
Philadelphia Flyers,1/27/2015,1,1,0,--,0,2,1,0,0,1,3,3,3,3,50,100,50,100,42,27,49.2
Philadelphia Flyers,1/29/2015,1,1,0,--,0,2,1,1,1,0,5,2,5,2,50,80,50,80,32,38,62.3
Philadelphia Flyers,1/31/2015,1,1,0,--,0,2,1,1,1,0,1,0,1,0,0,100,0,100,18,30,47.7
Philadelphia Flyers,2/5/2015,1,0,0,--,1,1,0.5,0,0,0,2,2,2,2,0,100,0,100,18,30,53.5
Philadelphia Flyers,2/8/2015,1,1,0,--,0,2,1,1,1,0,3,1,3,1,100,83.3,100,83.3,25,14,61.4
Philadelphia Flyers,2/10/2015,1,0,0,--,1,1,0.5,0,0,0,1,2,1,2,0,100,0,100,24,41,44.3
Philadelphia Flyers,2/13/2015,1,0,0,--,1,1,0.5,0,0,0,3,4,3,4,33.3,100,33.3,100,25,33,61.7
Philadelphia Flyers,2/15/2015,1,1,0,--,0,2,1,1,1,0,2,1,2,1,0,66.7,0,66.7,30,22,50
Philadelphia Flyers,2/17/2015,1,0,1,--,0,0,0,0,0,0,2,5,2,5,0,0,0,0,44,25,57.1
Philadelphia Flyers,2/19/2015,1,0,0,--,1,1,0.5,0,0,0,2,2,2,2,25,100,25,100,38,32,50.8
Philadelphia Flyers,2/21/2015,1,1,0,--,0,2,1,0,0,1,2,2,2,2,0,100,0,100,33,22,60.3
Philadelphia Flyers,2/22/2015,1,1,0,--,0,2,1,1,1,0,3,2,3,2,50,100,50,100,28,23,44.4
Philadelphia Flyers,2/24/2015,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,50,0,50,24,35,48.5
Philadelphia Flyers,2/26/2015,1,0,1,--,0,0,0,0,0,0,2,3,2,3,33.3,75,33.3,75,49,17,56.3
Philadelphia Flyers,2/28/2015,1,1,0,--,0,2,1,1,1,0,4,2,4,2,0,100,0,133.3,34,36,55.4
Philadelphia Flyers,3/3/2015,1,0,0,--,1,1,0.5,0,0,0,2,3,2,3,0,100,0,100,37,26,60.3
Philadelphia Flyers,3/5/2015,1,1,0,--,0,2,1,1,1,0,3,1,3,1,0,100,0,100,31,29,54
Philadelphia Flyers,3/7/2015,1,0,0,--,1,1,0.5,0,0,0,2,3,2,3,50,50,50,50,31,37,46.8
Philadelphia Flyers,3/8/2015,1,0,1,--,0,0,0,0,0,0,2,5,2,5,0,75,-33.3,100,27,21,54.1
Philadelphia Flyers,3/10/2015,1,0,1,--,0,0,0,0,0,0,1,2,1,2,0,100,0,100,26,39,51.9
Philadelphia Flyers,3/12/2015,1,0,0,--,1,1,0.5,0,0,0,0,0,0,0,0,100,0,100,28,35,53.5
Philadelphia Flyers,3/14/2015,1,1,0,--,0,2,1,1,1,0,7,2,7,2,75,66.7,75,66.7,36,33,43.6
Philadelphia Flyers,3/15/2015,1,0,0,--,1,1,0.5,0,0,0,1,1,1,1,0,100,0,100,28,28,42.9
Philadelphia Flyers,3/17/2015,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,100,0,100,28,35,58.3
Philadelphia Flyers,3/19/2015,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,50,0,50,27,26,50.8
Philadelphia Flyers,3/21/2015,1,0,0,--,1,1,0.5,0,0,0,4,5,4,5,25,100,25,100,31,34,58.5
Philadelphia Flyers,3/25/2015,1,1,0,--,0,2,1,1,1,0,4,1,4,1,50,50,50,50,33,35,46.3
Philadelphia Flyers,3/28/2015,1,0,0,--,1,1,0.5,0,0,0,2,2,2,2,33.3,75,33.3,75,18,44,48
Philadelphia Flyers,4/1/2015,1,1,0,--,0,2,1,1,1,0,4,1,4,1,20,100,20,100,31,25,42.4
Philadelphia Flyers,4/4/2015,1,0,0,--,1,1,0.5,0,0,0,2,2,2,2,50,100,50,100,23,26,45.5
Philadelphia Flyers,4/5/2015,1,1,0,--,0,2,1,1,1,0,4,1,4,1,75,50,75,50,20,47,50.9
Philadelphia Flyers,4/7/2015,1,1,0,--,0,2,1,1,1,0,5,4,5,4,33.3,80,33.3,80,27,40,48.5
Philadelphia Flyers,4/9/2015,1,0,1,--,0,0,0,0,0,0,1,3,1,3,0,83.3,0,83.3,28,27,47.7
Philadelphia Flyers,4/11/2015,1,0,1,--,0,0,0,0,0,0,1,3,1,3,0,75,0,75,35,22,49.2
Philadelphia Flyers,10/8/2015,1,0,0,--,1,1,0.5,0,0,0,2,3,2,3,33.3,66.7,33.3,66.7,25,32,50.8
Philadelphia Flyers,10/10/2015,1,0,1,--,0,0,0,0,0,0,1,7,1,7,25,57.1,25,57.1,39,30,48.7
Philadelphia Flyers,10/12/2015,1,1,0,--,0,2,1,1,1,0,1,0,1,0,0,100,0,100,33,31,50
Philadelphia Flyers,10/14/2015,1,1,0,--,0,2,1,1,1,0,3,0,3,0,16.7,100,16.7,100,29,30,46.4
Philadelphia Flyers,10/20/2015,1,0,1,--,0,0,0,0,0,0,1,2,1,2,0,100,0,100,35,32,52.4
Philadelphia Flyers,10/21/2015,1,1,0,--,0,2,1,0,1,0,5,4,5,4,50,66.7,0,66.7,37,30,57.9
Philadelphia Flyers,10/24/2015,1,1,0,--,0,2,1,0,0,1,2,2,2,2,0,66.7,0,66.7,48,39,43.1
Philadelphia Flyers,10/27/2015,1,0,0,--,1,1,0.5,0,0,0,3,4,3,4,0,50,0,50,33,40,48.3
Philadelphia Flyers,10/29/2015,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,60,0,60,28,33,43.3
Philadelphia Flyers,10/30/2015,1,0,1,--,0,0,0,0,0,0,1,3,1,3,0,83.3,0,83.3,28,36,47.8
Philadelphia Flyers,11/2/2015,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,100,0,100,28,34,65.3
Philadelphia Flyers,11/3/2015,1,0,1,--,0,0,0,0,0,0,2,4,2,4,0,80,0,80,22,49,49.2
Philadelphia Flyers,11/5/2015,1,0,0,--,1,1,0.5,0,0,0,1,2,1,2,0,100,0,100,27,30,46.9
Philadelphia Flyers,11/7/2015,1,1,0,--,0,2,1,1,1,0,3,0,3,0,40,100,40,100,23,28,49.1
Philadelphia Flyers,11/10/2015,1,0,1,--,0,0,0,0,0,0,0,4,0,4,0,50,0,50,25,40,53.7
Philadelphia Flyers,11/12/2015,1,0,1,--,0,0,0,0,0,0,2,5,2,5,25,33.3,25,33.3,20,32,44.1
Philadelphia Flyers,11/14/2015,1,1,0,--,0,2,1,0,1,0,3,2,3,2,0,66.7,0,66.7,19,21,52.2
Philadelphia Flyers,11/17/2015,1,0,0,--,1,1,0.5,0,0,0,2,2,2,2,20,50,20,50,38,40,64.4
Philadelphia Flyers,11/19/2015,1,0,0,--,1,1,0.5,0,0,0,0,1,0,1,0,100,0,100,34,21,50
Philadelphia Flyers,11/21/2015,1,0,1,--,0,0,0,0,0,0,0,4,0,4,0,100,0,100,36,31,39.7
Philadelphia Flyers,11/23/2015,1,1,0,--,0,2,1,0,1,0,3,2,3,2,50,100,50,120,36,33,45.9
Philadelphia Flyers,11/25/2015,1,0,1,--,0,0,0,0,0,0,1,3,1,3,20,100,0,100,18,36,61.2
Philadelphia Flyers,11/27/2015,1,1,0,--,0,2,1,0,1,0,3,2,3,2,50,100,50,100,36,35,52.9
Philadelphia Flyers,11/28/2015,1,1,0,--,0,2,1,1,1,0,3,0,3,0,0,100,0,100,34,24,48.9
Philadelphia Flyers,12/1/2015,1,1,0,--,0,2,1,1,1,0,4,2,4,2,0,100,0,100,33,25,41.9
Philadelphia Flyers,12/4/2015,1,1,0,--,0,2,1,0,1,0,4,3,4,3,66.7,75,66.7,75,25,18,50.9
Philadelphia Flyers,12/5/2015,1,0,1,--,0,0,0,0,0,0,1,4,1,4,0,66.7,0,66.7,28,34,48.4
Philadelphia Flyers,12/8/2015,1,0,0,--,1,1,0.5,0,0,0,3,3,3,3,0,0,0,100,46,26,50
Philadelphia Flyers,12/10/2015,1,1,0,--,0,2,1,1,1,0,4,2,4,2,0,50,0,50,29,37,32.8
Philadelphia Flyers,12/11/2015,1,0,1,--,0,0,0,0,0,0,1,3,1,3,50,100,50,100,20,44,40.9
Philadelphia Flyers,12/15/2015,1,1,0,--,0,2,1,0,1,0,4,3,4,3,0,75,0,75,31,32,52.6
Philadelphia Flyers,12/17/2015,1,1,0,--,0,2,1,1,1,0,2,0,2,0,0,100,0,100,31,36,60
Philadelphia Flyers,12/19/2015,1,0,0,--,1,1,0.5,0,0,0,2,2,2,2,0,83.3,0,83.3,32,37,46.3
Philadelphia Flyers,12/21/2015,1,1,0,--,0,2,1,1,1,0,4,3,4,3,33.3,50,33.3,100,31,29,54.7
Philadelphia Flyers,12/27/2015,1,0,1,--,0,0,0,0,0,0,2,4,2,4,20,33.3,0,33.3,26,37,33.9
Philadelphia Flyers,12/30/2015,1,0,1,--,0,0,0,0,0,0,2,4,2,4,0,50,0,50,19,33,53.3
Philadelphia Flyers,1/2/2016,1,0,1,--,0,0,0,0,0,0,1,2,1,2,25,66.7,25,66.7,30,32,52.3
Philadelphia Flyers,1/5/2016,1,1,0,--,0,2,1,1,1,0,4,3,4,3,33.3,100,33.3,100,31,24,47.4
Philadelphia Flyers,1/7/2016,1,1,0,--,0,2,1,0,1,0,4,3,4,3,0,100,0,100,36,34,51.7
Philadelphia Flyers,1/9/2016,1,1,0,--,0,2,1,1,1,0,4,0,4,0,0,100,0,100,31,20,60.7
Philadelphia Flyers,1/13/2016,1,1,0,--,0,2,1,1,1,0,3,2,3,2,0,50,0,50,21,32,50
