Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Vegas Golden Knights,20232024,27,17,5,--,5,39,0.722,13,14,3,86,63,3.19,2.33,22,87.2,21,92.3,32.6,29.4,50.6
New York Rangers,20232024,24,18,5,--,1,37,0.771,15,17,1,81,65,3.38,2.71,29.7,84.8,24.3,87.3,30.2,30.1,56.1
Boston Bruins,20232024,25,17,5,--,3,37,0.74,14,16,1,81,62,3.24,2.48,22.5,89.4,20,89.4,31.7,31.9,50.2
Vancouver Canucks,20232024,27,17,9,--,1,35,0.648,16,17,0,103,70,3.81,2.59,26.8,74.7,26.8,79.5,28.6,30.1,50.4
Los Angeles Kings,20232024,23,16,4,--,3,35,0.761,15,16,0,89,51,3.87,2.22,20.3,88.9,16.5,94.4,33.4,26.7,49.7
Colorado Avalanche,20232024,26,16,8,--,2,34,0.654,15,15,1,91,76,3.5,2.92,18.8,85.1,13.9,90.4,31.8,29.2,47.8
Dallas Stars,20232024,25,15,7,--,3,33,0.66,11,13,2,86,74,3.44,2.96,24.7,86.9,20.6,94.1,30.1,31.3,52.8
Florida Panthers,20232024,25,15,8,--,2,32,0.64,13,15,0,77,65,3.08,2.6,18.5,80.2,14.8,81.4,34,27.8,51
Winnipeg Jets,20232024,25,15,8,--,2,32,0.64,13,15,0,81,67,3.24,2.68,18.8,76.3,16.3,80.3,30.6,28.7,46.9
Detroit Red Wings,20232024,25,14,7,--,4,32,0.64,12,14,0,96,77,3.84,3.08,23.1,78.5,19.2,81.7,30.1,30.8,49.5
Philadelphia Flyers,20232024,26,14,10,--,2,30,0.577,10,12,2,76,71,2.92,2.73,12.2,85.9,11,94.1,32.6,28,46.9
Toronto Maple Leafs,20232024,23,13,6,--,4,30,0.652,6,9,4,76,76,3.3,3.3,23.9,79.7,19.4,81.1,31.7,33,53.6
Carolina Hurricanes,20232024,26,14,11,--,1,29,0.558,10,13,1,84,86,3.23,3.31,20.7,78.3,12.6,85.5,34.6,25.1,51.1
Tampa Bay Lightning,20232024,28,12,11,--,5,29,0.518,11,12,0,91,99,3.25,3.54,30.5,81.9,29.5,81.9,30.6,30.7,51.1
New York Islanders,20232024,25,11,7,--,7,29,0.58,9,10,1,75,80,3,3.2,26.1,73.7,24.6,80.3,29.9,35.8,51.3
Nashville Predators,20232024,26,14,12,--,0,28,0.538,11,13,1,84,81,3.23,3.12,21.2,75,19.2,78.8,31,30.3,50.2
Arizona Coyotes,20232024,25,13,10,--,2,28,0.56,10,11,2,81,72,3.24,2.88,25.9,81.2,21.2,82.4,27.1,31.8,47.7
New Jersey Devils,20232024,24,13,10,--,1,27,0.563,11,13,0,87,88,3.63,3.67,35,75.6,33.8,78.1,32.3,29.9,53.2
St. Louis Blues,20232024,25,13,11,--,1,27,0.54,11,12,1,72,79,2.88,3.16,9.5,78.3,6.8,87,29.4,33.2,50.7
Washington Capitals,20232024,23,12,8,--,3,27,0.587,9,10,2,54,69,2.35,3,9,77.8,7.5,80.6,27.9,31.1,45.9
Pittsburgh Penguins,20232024,25,11,11,--,3,25,0.5,10,11,0,74,65,2.96,2.6,9.9,83.1,4.2,84.4,33.1,31.3,54.6
Montreal Canadiens,20232024,26,11,12,--,3,25,0.481,5,9,2,70,91,2.69,3.5,17.2,72.6,11.8,75.8,28.3,34.2,53.4
Calgary Flames,20232024,26,11,12,--,3,25,0.481,8,11,0,76,86,2.92,3.31,11.9,84,7.1,88.9,31.7,28.8,50.3
Buffalo Sabres,20232024,27,11,14,--,2,24,0.444,10,11,0,77,91,2.85,3.37,15.2,81.4,10.1,83.7,29.4,29.9,44.8
Minnesota Wild,20232024,24,9,11,--,4,22,0.458,8,8,1,74,82,3.08,3.42,18.6,71.8,14,74.1,30.9,29.8,45.5
Seattle Kraken,20232024,27,8,13,--,6,22,0.407,5,7,1,70,91,2.59,3.37,21.2,75.6,17.7,78.2,30.8,28.7,49.4
Edmonton Oilers,20232024,23,10,12,--,1,21,0.457,8,9,1,79,80,3.43,3.48,26.3,78.7,22.5,82,33.4,29,51.1
Columbus Blue Jackets,20232024,28,8,15,--,5,21,0.375,7,8,0,80,98,2.86,3.5,13.6,86.3,11.1,86.3,30.1,33.9,47.8
Ottawa Senators,20232024,21,10,11,--,0,20,0.476,8,9,1,72,69,3.43,3.29,17.2,73.9,14.9,75.4,33,30.2,51.7
Anaheim Ducks,20232024,26,10,16,--,0,20,0.385,6,9,1,68,88,2.62,3.38,21.4,79.8,21.4,82.5,29.9,31.5,48.1
San Jose Sharks,20232024,27,8,17,--,2,18,0.333,6,8,0,58,109,2.15,4.04,18.1,71.7,12.5,73.9,25.3,37,51.6
Chicago Blackhawks,20232024,25,8,16,--,1,17,0.34,6,8,0,60,88,2.4,3.52,11.4,75.3,6.3,76.5,27.4,32.8,45.1
