team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
PHI,2008,PHI,2008020019,PHI,NYR,HOME,20081011,Team Level,other,0.9444,0.8333,0.8333,1357,3.359,0.442,0.275,0.74,0.143,2.396,1.005,0.43,0.442,0.43,3,2,0,5,0,0,0,1,0,3,1,3,5,0,0,3,0,0,0,2,3,0,0.109,0.333,0,0,0,0,5,5,5,0,0.077,0,0,0.519,0.519,0.505,0.771,0.026,0.031,0.201,0.022,0.346,0.375,0.026,0.026,0.026,1,0,0,1,0,0,0,1,0,0,0,1,1,1,2,5,0,1,0,1,0,0,0.026,0,0,0,0,0,1,1,1,0,0.008,0,0,0.033,0.033,0.033
PHI,2008,PHI,2008020019,PHI,NYR,HOME,20081011,Team Level,all,0.4992,0.5,0.519,3600,30.199,3.02,2.229,6.583,0.961,16.492,11.715,2.946,2.84,2.771,28,13,9,50,3,2,1,7,0,16,13,25,38,9,24,29,11,5,8,27,11,3,0.836,1.53,0.654,2,0,1,45.778,41,38.025,4,0.504,0.401,0.401,3.123,2.958,2.907,27.1,3.03,1.97,5.731,0.847,15.619,10.803,2.779,3.206,2.951,27,11,12,50,4,2,0,5,1,12,14,23,34,9,24,39,5,4,3,29,4,5,0.669,0.478,1.882,1,1,2,54.535,38,40.5,1,0.466,0.626,0.626,2.869,3.026,2.787
PHI,2008,PHI,2008020019,PHI,NYR,HOME,20081011,Team Level,5on5,0.4921,0.5385,0.5714,1743,20.592,1.751,1.326,4.586,0.654,11.142,8.541,1.702,1.572,1.528,20,8,7,35,2,2,1,3,0,10,11,18,26,9,24,21,10,3,6,21,5,2,0.557,0.754,0.441,1,0,1,30.778,28,25.025,4,0.273,0.401,0.401,1.624,1.459,1.437,15.494,1.807,1.151,3.302,0.47,8.279,5.991,1.763,1.983,1.936,18,3,9,30,3,2,0,4,0,6,6,15,18,6,18,20,5,3,1,15,3,3,0.485,0.342,0.981,1,1,1,34.535,21,23.5,0,0.239,0.626,0.626,1.419,1.576,1.56
PHI,2008,PHI,2008020019,PHI,NYR,HOME,20081011,Team Level,4on5,0.2077,0.1053,0.125,269,1.725,0.258,0.116,0.359,0.049,0.405,0.814,0.248,0.258,0.248,2,0,0,2,1,0,0,1,0,0,0,1,1,0,0,4,1,1,1,1,0,1,0.045,0,0.213,1,0,0,2,2,2,0,0.027,0,0,0.285,0.285,0.274,9.373,0.984,0.721,2.1,0.319,6.568,3.309,0.777,0.984,0.777,7,7,3,17,1,0,0,0,1,6,6,6,13,2,4,9,0,0,1,12,0,2,0.082,0,0.902,0,0,1,17,14,14,0,0.204,0,0,1.187,1.187,0.965
PHI,2008,PHI,2008020019,PHI,NYR,HOME,20081011,Team Level,5on4,0.7276,0.8,0.75,231,4.523,0.569,0.512,0.898,0.115,2.55,1.356,0.565,0.569,0.565,3,3,2,8,0,0,0,2,0,3,1,3,6,0,0,1,0,1,1,3,3,0,0.126,0.444,0,0,0,0,8,6,6,0,0.127,0,0,0.696,0.696,0.69,1.462,0.213,0.068,0.129,0.036,0.427,1.128,0.213,0.213,0.213,1,1,0,2,0,0,0,0,0,0,2,1,2,0,0,5,0,0,1,1,1,0,0.076,0.137,0,0,0,0,2,2,2,1,0.016,0,0,0.229,0.229,0.229
PHI,2008,PHI,2008020035,PHI,MTL,HOME,20081013,Team Level,other,0.2817,0.5385,0.5833,306,4.724,0.556,0.412,0.948,0.167,3.351,1.566,0.502,0.556,0.502,4,3,0,7,0,0,0,2,0,3,2,4,7,0,0,6,0,1,1,5,2,0,0.316,0.24,0,0,0,0,7,7,7,1,0.119,0,0,0.675,0.675,0.607,3.457,1.418,0.158,0.598,0.11,1.159,1.556,1.387,1.418,1.387,4,1,1,6,3,1,1,0,0,0,1,1,2,0,0,2,2,1,0,2,0,3,0.112,0,1.307,1,0,2,6,5,5,0,0.042,0.437,0.437,1.024,1.024,1.023
PHI,2008,PHI,2008020035,PHI,MTL,HOME,20081013,Team Level,all,0.4805,0.5221,0.5301,3600,31.91,2.465,2.105,7.281,1.031,17.747,13.371,2.352,2.435,2.322,32,12,15,59,3,1,1,10,0,10,20,29,41,7,20,37,16,5,12,36,6,2,1.18,0.825,0.461,2,0,1,58.206,44,43.448,7,0.493,0.233,0.233,2.725,2.688,2.605,27.037,2.665,1.823,5.673,0.829,15.249,12.76,2.592,2.706,2.631,27,12,15,54,5,3,1,3,0,11,17,22,34,10,26,35,24,2,4,31,4,4,0.707,0.443,1.516,3,0,2,55.011,39,39.388,2,0.397,0.816,0.816,2.247,2.279,2.26
PHI,2008,PHI,2008020035,PHI,MTL,HOME,20081013,Team Level,5on5,0.4334,0.5217,0.5098,2391,18.956,0.888,1.016,4.654,0.58,10.213,8.648,0.887,0.858,0.857,21,5,10,36,1,0,0,8,0,6,11,20,25,7,20,26,13,4,7,24,2,0,0.611,0.277,0,1,0,0,35.206,26,25.448,4,0.204,0,0,1.092,1.055,1.054,17.239,1.161,1.095,3.862,0.539,9.684,8.659,1.122,1.201,1.161,18,7,8,33,2,2,0,2,0,8,11,16,23,8,22,23,18,0,3,20,4,1,0.509,0.443,0.209,2,0,0,34.011,25,25.388,2,0.222,0.38,0.38,1.003,1.036,1.025
PHI,2008,PHI,2008020035,PHI,MTL,HOME,20081013,Team Level,4on5,0.682,0.1333,0.2,424,1.517,0.163,0.061,0.189,0.044,0.434,1.109,0.163,0.163,0.163,2,0,0,2,0,0,0,0,0,0,2,2,2,0,0,1,2,0,2,1,1,0,0.029,0.134,0,0,0,0,2,2,2,2,0.014,0,0,0.177,0.177,0.177,5.658,0.076,0.55,1.119,0.162,4.152,1.941,0.073,0.076,0.073,5,3,5,13,0,0,0,1,0,3,4,5,8,1,2,6,2,1,1,8,0,0,0.076,0,0,0,0,0,13,8,8,0,0.127,0,0,0.203,0.203,0.196
PHI,2008,PHI,2008020035,PHI,MTL,HOME,20081013,Team Level,5on4,0.9885,0.875,0.9,479,6.713,0.857,0.617,1.489,0.24,3.749,2.048,0.799,0.857,0.799,5,4,5,14,2,1,1,0,0,1,5,3,7,0,0,4,1,0,2,6,1,2,0.224,0.173,0.461,1,0,1,14,9,9,0,0.157,0.233,0.233,0.781,0.781,0.768,0.682,0.01,0.02,0.094,0.018,0.253,0.604,0.01,0.01,0.01,0,1,1,2,0,0,0,0,0,0,1,0,1,1,2,4,2,0,0,1,0,0,0.01,0,0,0,0,0,2,1,1,0,0.006,0,0,0.016,0.016,0.016
PHI,2008,PHI,2008020039,PHI,PIT,AWAY,20081014,Team Level,other,0.2881,0.6,0.5,102,2.806,0.07,0.159,0.661,0.083,1.589,1.439,0.07,0.07,0.07,3,1,2,6,0,0,0,0,0,1,3,3,4,0,0,4,4,1,0,4,0,0,0.07,0,0,0,0,0,6,4,4,0,0.048,0,0,0.118,0.118,0.118,2.05,0.173,0.132,0.434,0.061,1.314,0.951,0.173,0.173,0.173,4,0,0,4,1,0,0,1,0,1,1,3,3,0,0,2,1,2,0,4,0,0,0.173,0,0,1,0,0,4,4,4,0,0.032,0,0,0.14,0.14,0.14
PHI,2008,PHI,2008020039,PHI,PIT,AWAY,20081014,Team Level,all,0.3086,0.4655,0.5063,3889,28.774,1.221,1.709,7.613,0.956,16.663,11.837,1.197,1.269,1.244,30,10,14,54,2,1,0,4,1,16,16,28,38,7,17,24,38,2,7,34,6,0,0.564,0.657,0,0,2,0,54.789,40,40.584,4,0.388,0.141,0.141,1.468,1.518,1.507,27.319,2.736,2.085,6.288,0.895,15.631,10.43,2.645,2.673,2.585,28,11,23,62,3,3,0,5,1,14,13,25,36,7,17,36,30,7,7,27,9,3,0.863,1.015,0.857,2,0,1,61.228,39,38.546,4,0.459,0.537,0.537,2.592,2.542,2.474
